Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
393,Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,Light Rain Likely,53,9 mph,S
394,Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,,,Rain,53,8 to 12 mph,S
395,Savor Seattle Signature Tour: Pike Place Market,Ongoing,Pike Place Market,Tours & Attractions,Downtown,47.60939675,-122.34141017673986,Rain,53,10 mph,S
396,Untold Stories: World War II at 75,Ongoing,The Museum of Flight,Museums,South Seattle,,,Rain,53,8 to 12 mph,S
397,Bezos Center for Innovation,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,Light Rain Likely,52,8 mph,S
398,Maritime Seattle,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,Light Rain Likely,52,8 mph,S
399,True Northwest: The Seattle Journey,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,Light Rain Likely,52,8 mph,S
400,Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing,Tacoma Art Museum,Museums,South,,,Rain,53,8 to 12 mph,S
401,Winter in the West,Ongoing,Tacoma Art Museum,Museums,South,,,Rain,53,8 to 12 mph,S
402,Ballard Farmers Market – Sunday,Ongoing,Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,,,Rain,53,8 to 12 mph,S
403,Capitol Hill Farmers Market – Sunday,Ongoing,Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,47.61889245,-122.32016705491073,Light Rain Likely,52,8 mph,S
404,University District Farmers Market,Ongoing,University District Farmers Market,Festivals & Special Events,University District,,,Rain,53,8 to 12 mph,S
405,Fremont Sunday Market,Ongoing,Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,,,Rain,53,8 to 12 mph,S
406,Chihuly Garden and Glass Gallery Talks & Tours,Ongoing,Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,Light Rain Likely,53,9 mph,S
407,Boundless: Stories of Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,Light Rain Likely,52,8 mph,S
408,Kenzan Tsutakawa-Chinn: Gather,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,Light Rain Likely,52,8 mph,S
409,Art Walk Edmonds | Every Third Thursday,Ongoing,Cascadia Art Museum,Visual Arts & Galleries,North,,,Rain,53,8 to 12 mph,S
410,Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.6214931,-122.3482252740562,Light Rain Likely,53,9 mph,S
411,Show Me Seattle Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.6191101,-122.33653138239433,Light Rain Likely,52,8 mph,S
412,LeMay – America’s Car Museum,Ongoing,LeMay - America's Car Museum,Museums,South,,,Rain,53,8 to 12 mph,S
413,History Link Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.6191101,-122.33653138239433,Light Rain Likely,52,8 mph,S
